pubkey,scid,channel_capacity,outgoing_reputation,incoming_revenue
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,522268023259136,10000000000,311483,2572905
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,600333348831232,12393755000,202202,108881
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,509073883725824,100000000000,829160,22082201
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,597034813947904,200000000000,423212,49785460
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,425511000014848,16000000000,383506,4356734
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,463993906987008,25000000000,1556588,13029714
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,523367534886912,80000000000,4766012,6484458
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,568447511625728,100000000000,119278362,3187221
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,540959720931328,10000000000,1701394,5054252
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,558551906975744,10000000000,6822415,7563094
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,566248488370176,10000000000,3471081,21647
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,556352883720192,10000000000,2454999,18606842
03a12876c29a8a48bcd99905a04a2b3401ea3139e91e3bf26c05fde3b68d40261a,460695372103680,1200000000,0,0
03a12876c29a8a48bcd99905a04a2b3401ea3139e91e3bf26c05fde3b68d40261a,459595860475904,1000000000,0,0
02e0d304ea61db67dcee3c3c4b53b1c43e3ed0a52e369cc86fe6e3562579739aa7,589338232553472,5000000000,0,0
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,470590976753664,2000000000,374416,2591949
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,498078767448064,2000000000,1141645,1322946
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,476088534892544,2000000000,2284663,2962018
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,473889511636992,2000000000,216154,285822
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,421112953503744,5000000000,620523,1820312
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,501377302331392,2000000000,24333940,12695264
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,474989023264768,2000000000,3085131,3634152
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,572845558136832,3000000000,1653725,24968395
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,468391953498112,2000000000,881721,7470679
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,494780232564736,2000000000,42209,1321723
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,471690488381440,2000000000,264425,4613124
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,344147139559424,10000000000,62811109,506662
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,488183162798080,2000000000,539351,6922849
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,482685604659200,2000000000,654423,2450839
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,479387069775872,2000000000,109870,970004
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,472790000009216,2000000000,9852,595786
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,529964604653568,7700000000,48978,88151
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,480486581403648,2000000000,507800,1566403
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,481586093031424,2000000000,820900,18551541
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,569547023253504,10000000000,3266754,8077125
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,485984139542528,2000000000,351882,1917502
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,487083651170304,2000000000,1004579,2279430
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,500277790703616,2000000000,16487779,75487
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,484884627914752,2000000000,1061372,302268
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,478287558148096,2000000000,0,891154
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,469491465125888,2000000000,776015,2225440
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,499178279075840,2000000000,3076071,514
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,525566558142464,10000000000,11218536,0
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,477188046520320,2000000000,202415,2285417
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,483785116286976,2000000000,4462723,1933126
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,490382186053632,2000000000,105751,573579
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,491481697681408,2000000000,244902,23422411
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,492581209309184,2000000000,2193556,5531011
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,437605627920384,14081887000,4358,0
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,357341279092736,1000000000,0,4358
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,344147139559424,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,337550069792768,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,346346162814976,150000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,341948116303872,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,330953000026112,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,335351046537216,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,348545186070529,80000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,343047627931648,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,333152023281664,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,329853488398336,10000000000,0,0
