pubkey,scid,channel_capacity,outgoing_reputation,incoming_revenue
027cd974e47086291bb8a5b0160a889c738f2712a703b8ea939985fd16f3aae67e,414515883737088,99995000000,29725463,14784726401
027cd974e47086291bb8a5b0160a889c738f2712a703b8ea939985fd16f3aae67e,358440790720512,20000000000,0,18085284
02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149,399122720948224,100000000000,69422000,533865
02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149,357341279092736,10000000000,0,4774
02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149,406819302342656,6710669000,2357763,34454
02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149,355142255837184,50000000000,0,71206804
039157862ec407b1aa2353d879279916e76c8d2fcc4ac10d3f225972c8e58fbc43,370535418626048,100000000,1438,0
039157862ec407b1aa2353d879279916e76c8d2fcc4ac10d3f225972c8e58fbc43,396923697692672,51000000,0,1182
039157862ec407b1aa2353d879279916e76c8d2fcc4ac10d3f225972c8e58fbc43,371634930253824,75000000,0,255
03ea17fd97ca7382a192dd4533c8e95ca946ef0827b14984e682af699bcaeb5a53,374933465137152,550000000,0,0
02b568dfb3cb52a0bde61b706f333a4eb4b77b0d38f0a9a591a338a05ae5130296,376032976764928,24639000,580,118486
02b568dfb3cb52a0bde61b706f333a4eb4b77b0d38f0a9a591a338a05ae5130296,372734441881600,80000000,4686,52158
02b568dfb3cb52a0bde61b706f333a4eb4b77b0d38f0a9a591a338a05ae5130296,348545186070528,80000000,170644,5265
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,394724674437120,100000000000,1133207,8878625730
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,343047627931648,2000000000,1399632,1623541
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,378232000020480,2000000000,3021319,1519758
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,374933465137152,550000000,994552,557304
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,418913930248192,16770000000,8870043580,4649469
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,409018325598208,25000000000,895797,6044856
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,336450558164992,2000000000,15706089,173469
02626318f968469fb1dcd0453536bbabaab8861be75d8cde7900e57aab1bd4f3ac,376032976764928,24639000,23799,915
02626318f968469fb1dcd0453536bbabaab8861be75d8cde7900e57aab1bd4f3ac,401321744203776,50000000,1717,23513
02626318f968469fb1dcd0453536bbabaab8861be75d8cde7900e57aab1bd4f3ac,339749093048320,100000000,82,1171
02e45ec6486ad8d2b2dcfe3e994f89035f7f1975e800bfe56f030d910647601199,413416372109312,100000000,1010,1632
02e45ec6486ad8d2b2dcfe3e994f89035f7f1975e800bfe56f030d910647601199,333152023281664,10000000000,1632,1010
0328946a0693c2a4dd7e5afc2ce2e020c54e07d6693a293b4e1c1fd7e2d09a3eeb,356241767464960,2000000000,297813,170713
0328946a0693c2a4dd7e5afc2ce2e020c54e07d6693a293b4e1c1fd7e2d09a3eeb,392525651181568,2000000000,170713,297813
023bb9937dea9707583e45aa6708af0c5d16d9ca3970f67ab76606f43b7457309d,391426139553792,2000000000,1113215,247629
023bb9937dea9707583e45aa6708af0c5d16d9ca3970f67ab76606f43b7457309d,332052511653888,10000000000,247629,1113215
03b9de7a7d7e8a474b859a59e314cf2a143ae9c569ce78c46289b3ad16cb8c03f9,339749093048320,100000000,2034,14484
03b9de7a7d7e8a474b859a59e314cf2a143ae9c569ce78c46289b3ad16cb8c03f9,340848604676096,100000000,14484,2034
02abb5e57ff442770d9dc1d1ab66f45b015ac7aa033e4407051d060a471b71b08b,363938348859392,1000000000,0,0
0209a06852f1257d70e5cea44a0919871fa20859eb33a62445f774e9fe96247a75,366137372114944,650000000,671,676
0209a06852f1257d70e5cea44a0919871fa20859eb33a62445f774e9fe96247a75,413416372109312,100000000,676,671
